Symbol,Name,Sector
A,Agilent Technologies Inc. Common Stock,Industrials
AA,Alcoa Corporation Common Stock ,Industrials
AACG,ATA Creativity Global American Depositary Shares,Real Estate
AACI,Armada Acquisition Corp. I Common Stock,Finance
AACIW,Armada Acquisition Corp. I Warrant,Finance
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,
AADI,Aadi Bioscience Inc. Common Stock,Health Care
AAIC,Arlington Asset Investment Corp Class A (new),Real Estate
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,Real Estate
AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary
AAMC,Altisource Asset Management Corp Com,Finance
AAME,Atlantic American Corporation Common Stock,Finance
AAN,Aarons Holdings Company Inc. Common Stock ,Consumer Discretionary
AAOI,Applied Optoelectronics Inc. Common Stock,Technology
AAON,AAON Inc. Common Stock,Industrials
AAP,Advance Auto Parts Inc.,Consumer Discretionary
AAPL,Apple Inc. Common Stock,Technology
AAT,American Assets Trust Inc. Common Stock,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,
AB,AllianceBernstein Holding L.P.  Units,Finance
ABAT,American Battery Technology Company Common Stock,Basic Materials
ABBV,AbbVie Inc. Common Stock,Health Care
ABCB,Ameris Bancorp Common Stock,Finance
ABCL,AbCellera Biologics Inc. Common Shares,Health Care
ABCM,Abcam plc American Depositary Shares,Health Care
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Staples
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary
ABIO,ARCA biopharma Inc. Common Stock,Health Care
ABL,Abacus Life Inc. Class A Common Stock,Finance
ABLLW,Abacus Life Inc. Warrant,Finance
ABLV,Able View Global Inc. Class B Ordinary Shares,
ABLVW,Able View Global Inc. Warrant,
ABM,ABM Industries Incorporated Common Stock,Finance
ABNB,Airbnb Inc. Class A Common Stock,Consumer Discretionary
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Health Care
ABR,Arbor Realty Trust Common Stock,Real Estate
ABSI,Absci Corporation Common Stock,Health Care
ABT,Abbott Laboratories Common Stock,Health Care
ABTS,Abits Group Inc Ordinary Shares,
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care
ABVC,ABVC BioPharma Inc. Common Stock,Health Care
ABVX,Abivax SA American Depositary Shares,
AC,Associated Capital Group Inc. Common Stock,Finance
ACA,Arcosa Inc. Common Stock ,Industrials
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,Finance
ACABU,Atlantic Coastal Acquisition Corp. II Unit,Finance
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,Finance
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,Finance
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,Finance
ACAHU,Atlantic Coastal Acquisition Corp. Unit,Finance
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,Finance
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,Health Care
ACAXW,Alset Capital Acquisition Corp. Warrant,Health Care
ACB,Aurora Cannabis Inc. Common Shares,Health Care
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,Consumer Discretionary
ACBAU,Ace Global Business Acquisition Limited Unit,Consumer Discretionary
ACBAW,Ace Global Business Acquisition Limited Warrant,Consumer Discretionary
ACCD,Accolade Inc. Common Stock,Consumer Discretionary
ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary
ACDC,ProFrac Holding Corp. Class A Common Stock,Energy
ACEL,Accel Entertainment Inc. ,Consumer Discretionary
ACET,Adicet Bio Inc. Common Stock ,Health Care
ACGL,Arch Capital Group Ltd. Common Stock,Finance
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care
ACHL,Achilles Therapeutics plc American Depositary Shares,Health Care
ACHR,Archer Aviation Inc. Class A Common Stock,Industrials
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples
ACIC,American Coastal Insurance Corporation Common Stock,Finance
ACIU,AC Immune SA Common Stock,Health Care
ACIW,ACI Worldwide Inc. Common Stock,Technology
ACLS,Axcelis Technologies Inc. Common Stock,Technology
ACLX,Arcellx Inc. Common Stock,Health Care
ACM,AECOM Common Stock,Consumer Discretionary
ACMR,ACM Research Inc. Class A Common Stock,Technology
ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary
ACNB,ACNB Corporation Common Stock,Finance
ACNT,Ascent Industries Co. Common Stock,Industrials
ACON,Aclarion Inc. Common Stock,Technology
ACONW,Aclarion Inc. Warrant,Technology
ACOR,Acorda Therapeutics Inc. Common Stock,Health Care
ACP,abrdn Income Credit Strategies Fund Common Shares,Finance
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,Finance
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care
ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care
ACST,Acasti Pharma Inc. Class A Common Stock,Health Care
ACT,Enact Holdings Inc. Common Stock,Finance
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous
ACU,Acme United Corporation. Common Stock,Consumer Discretionary
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance
ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Health Care
ADAG,Adagene Inc. American Depositary Shares,Health Care
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care
ADBE,Adobe Inc. Common Stock,Technology
ADC,Agree Realty Corporation Common Stock,Real Estate
ADCT,ADC Therapeutics SA Common Shares,Health Care
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary
ADEA,Adeia Inc. Common Stock,Technology
ADES,Advanced Emissions Solutions Inc. Common Stock,Industrials
ADEX,Adit EdTech Acquisition Corp. Common Stock,Technology
ADI,Analog Devices Inc. Common Stock,Technology
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples
ADMA,ADMA Biologics Inc Common Stock,Health Care
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Utilities
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary
ADNWW,Advent Technologies Holdings Inc. Warrant,Miscellaneous
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Health Care
ADOCR,Edoc Acquisition Corp. Right,Health Care
ADOCW,Edoc Acquisition Corp. Warrant,Health Care
ADP,Automatic Data Processing Inc. Common Stock,Technology
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care
ADRT,Ault Disruptive Technologies Corporation Common Stock,Finance
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary
ADSEW,ADS-TEC ENERGY PLC Warrant,Consumer Discretionary
ADSK,Autodesk Inc. Common Stock,Technology
ADT,ADT Inc. Common Stock,Consumer Discretionary
ADTH,AdTheorent Holding Company Inc. Common Stock,Consumer Discretionary
ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications
ADTX,Aditxt Inc. Common Stock,Health Care
ADUS,Addus HomeCare Corporation Common Stock,Health Care
ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care
ADVWW,Advantage Solutions Inc. Warrant,Consumer Discretionary
ADX,Adams Diversified Equity Fund Inc.,Finance
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care
AE,Adams Resources & Energy Inc. Common Stock,Energy
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,Finance
AEAEW,AltEnergy Acquisition Corp. Warrant,Finance
AEE,Ameren Corporation Common Stock,Utilities
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,
AEG,Aegon Ltd. New York Registry Shares,Finance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Industrials
AEHR,Aehr Test Systems Common Stock,Industrials
AEI,Alset Inc. Common Stock (TX),Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,Technology
AEL,American Equity Investment Life Holding Company Common Stock,Finance
AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials
AEMD,Aethlon Medical Inc. Common Stock,Health Care
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary
AENZ,Aenza S.A.A. American Depositary Shares,Industrials
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary
AEON,AEON Biopharma Inc. Class A Common Stock,Health Care
AEP,American Electric Power Company Inc. Common Stock,Utilities
AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary
AERT,Aeries Technology Inc. Class A Ordinary Share,Basic Materials
AERTW,Aeries Technology Inc. Warrant,Finance
AES,The AES Corporation Common Stock,Utilities
AESC,The AES Corporation Corporate Units,Utilities
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary
AEY,ADDvantage Technologies Group Inc. Common Stock,Industrials
AEYE,AudioEye Inc. Common Stock,Technology
AEZS,Aeterna Zentaris Inc. Common Stock,Health Care
AFAR,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,Finance
AFARW,Aura FAT Projects Acquisition Corp Warrant,Finance
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance
AFCG,AFC Gamma Inc. Common Stock,Real Estate
AFG,American Financial Group Inc. Common Stock,Finance
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance
